Variable,A (English),B (Trad. Chinese),C (French),D (German),E (Italian),F (Japanese),G (Korean),H (Euro. Spanish),I (Latin American Spanish),J (Polish),K (Brazilian Portuguese),L (Russian),M (Simplified Chinese)
AircraftSkin_Description_f86t_06,The Belkan Woodland camouflage skin for the F-86T Sabre.,F-86軍刀的貝爾卡林地迷彩塗裝.,Le skin camouflage Woodland Belkan pour le F-86T Sabre. ,The Belkan Woodland camouflage skin for the F-86T Sabre.,The Belkan Woodland camouflage skin for the F-86T Sabre.,F-86Tセイバー用ベルカン・ウッドランド迷彩スキン。,The Belkan Woodland camouflage skin for the F-86T Sabre.,"El aspecto de camuflaje ""Belkan Woodland"" para el F-86T Sabre.","El aspecto de camuflaje ""Belkan Woodland"" para el F-86T Sabre.",The Belkan Woodland camouflage skin for the F-86T Sabre.,The Belkan Woodland camouflage skin for the F-86T Sabre.,The Belkan Woodland camouflage skin for the F-86T Sabre.,“F-86T Sabre”的贝尔卡林地迷彩涂装。
AircraftSkin_Description_f86t_07,The USAAF Vault Girl pinup skin for the F-86T Sabre.,F-86軍刀的美國陸軍航空隊「避難所女郎」塗裝.,Le skin pinup Vault Girl de l'USAAF pour le F-86T Sabre.,The USAAF Vault Girl pinup skin for the F-86T Sabre.,The USAAF Vault Girl pinup skin for the F-86T Sabre.,F-86Tセイバー用USAAFヴォルトガールピンナップスキン。,The USAAF Vault Girl pinup skin for the F-86T Sabre.,El aspecto de pinup Vault Girl de la USAAF para el F-86T Sabre.,El aspecto de pinup Vault Girl de la USAAF para el F-86T Sabre.,The USAAF Vault Girl pinup skin for the F-86T Sabre.,The USAAF Vault Girl pinup skin for the F-86T Sabre.,The USAAF Vault Girl pinup skin for the F-86T Sabre.,“F-86T Sabre”的美国空军保险库女郎海报涂装。
AircraftSkin_Description_f86t_08,"The Special Research Projects Administration (SRPA) skin for the F-86T Sabre. 
Based on the F-86 Sabre's scheme from the game Resistance 2.",F-86軍刀的全面對抗2「特殊計畫研究機關(SRPA)」塗裝.,"Le skin de l'Administration des Projets de Recherche Spéciaux (SRPA) pour le F-86T Sabre.
Basé sur la livrée du F-86 Sabre dans le jeu Resistance 2.","The Special Research Projects Administration (SRPA) skin for the F-86T Sabre. 
Based on the F-86 Sabre's scheme from the game Resistance 2.","The Special Research Projects Administration (SRPA) skin for the F-86T Sabre. 
Based on the F-86 Sabre's scheme from the game Resistance 2.","F-86Tセイバー用特別研究計画局（SRPA）スキン。
ゲーム「レジスタンス2」のF-86セイバーのスキームに基づいています。","The Special Research Projects Administration (SRPA) skin for the F-86T Sabre. 
Based on the F-86 Sabre's scheme from the game Resistance 2.","El aspecto de la Special Research Projects Administration (SRPA) para el F-86T Sabre. 
Inspirado en el esquema de pintura del F-86 Sabre del juego Resistance 2.
","El aspecto de la Special Research Projects Administration (SRPA) para el F-86T Sabre. 
Inspirado en el esquema de pintura del F-86 Sabre del juego Resistance 2.
","The Special Research Projects Administration (SRPA) skin for the F-86T Sabre. 
Based on the F-86 Sabre's scheme from the game Resistance 2.","The Special Research Projects Administration (SRPA) skin for the F-86T Sabre. 
Based on the F-86 Sabre's scheme from the game Resistance 2.","The Special Research Projects Administration (SRPA) skin for the F-86T Sabre. 
Based on the F-86 Sabre's scheme from the game Resistance 2.","“F-86T Sabre”的特殊研究项目管理局 (SRPA) 涂装。
基于来自游戏《抵抗2》的F-86“佩刀”涂装。
"
AircraftSkin_Description_f86t_09,The Taiwanese Air Force skin for the F-86T Sabre.,F-86軍刀的中華民國空軍塗裝.,Le skin de la force aérienne Taïwanaise pour le F-86T Sabre.,The Taiwanese Air Force skin for the F-86T Sabre.,The Taiwanese Air Force skin for the F-86T Sabre.,台湾空軍のF-86Tセイバー用スキンです。,The Taiwanese Air Force skin for the F-86T Sabre.,El aspecto de la Fuerza Aérea de la República de China (ROCAF) para el F-86T Sabre.,El aspecto de la Fuerza Aérea de la República de China (ROCAF) para el F-86T Sabre.,The Taiwanese Air Force skin for the F-86T Sabre.,The Taiwanese Air Force skin for the F-86T Sabre.,The Taiwanese Air Force skin for the F-86T Sabre.,“F-86T Sabre”的中国台湾地区空军涂装。
AircraftSkin_Description_f86t_10,"The ""MiG Poison"" skin for the F-86T Sabre.
Based on the 67th Fighter-Bomber Squadron ""FU-341"".",F-86軍刀的第67戰轟中隊編號FU-341「米格毒藥」塗裝.,"Le skin ""MiG Poison"" pour le F-86T Sabre. .
Basé sur le 67ème Escadron de Chasseurs-Bombardiers ""FU-341"".","The ""MiG Poison"" skin for the F-86T Sabre.
Based on the 67th Fighter-Bomber Squadron ""FU-341"".","The ""MiG Poison"" skin for the F-86T Sabre.
Based on the 67th Fighter-Bomber Squadron ""FU-341"".","F-86Tセイバー用「MiGポイズン」スキンです。
第67戦闘爆撃飛行隊「FU-341」をモチーフにしています。","The ""MiG Poison"" skin for the F-86T Sabre.
Based on the 67th Fighter-Bomber Squadron ""FU-341"".","El aspecto ""MiG Poison"" para el F-86T Sabre.
Inspirado en el 67th Fighter-Bomber Squadron ""FU-341"".
","El aspecto ""MiG Poison"" para el F-86T Sabre.
Inspirado en el 67th Fighter-Bomber Squadron ""FU-341"".
","The ""MiG Poison"" skin for the F-86T Sabre.
Based on the 67th Fighter-Bomber Squadron ""FU-341"".","The ""MiG Poison"" skin for the F-86T Sabre.
Based on the 67th Fighter-Bomber Squadron ""FU-341"".","The ""MiG Poison"" skin for the F-86T Sabre.
Based on the 67th Fighter-Bomber Squadron ""FU-341"".","“F-86T Sabre”的“米格毒杀者”涂装。
基于第67战斗轰炸机中队的FU-341号战机。"
AircraftSkin_Description_f86t_11,"The ""Beauteous Butch II"" skin for the F-86T Sabre.
Based on the 51st Fighter-Interceptor Squadron ""FU-910"".",F-86軍刀的第51戰機攔截中隊編號FU-910「美麗屠夫二世」塗裝.,"Le skin ""Beauteous Butch II"" pour le F-86T Sabre. .
Basé sur le 51ème Escadron de Chasseurs-Intercepteurs ""FU-910"".","The ""Beauteous Butch II"" skin for the F-86T Sabre.
Based on the 51st Fighter-Interceptor Squadron ""FU-910"".","The ""Beauteous Butch II"" skin for the F-86T Sabre.
Based on the 51st Fighter-Interceptor Squadron ""FU-910"".","F-86Tセイバー用「ボーテウス・ブッチII」スキンです。
第51戦闘迎撃飛行隊「FU-910」をモチーフにしています。","The ""Beauteous Butch II"" skin for the F-86T Sabre.
Based on the 51st Fighter-Interceptor Squadron ""FU-910"".","El aspecto ""Beauteous Butch II"" para el F-86T Sabre.
Inspirado en el 51st Fighter-Interceptor Squadron ""FU-910"".","El aspecto ""Beauteous Butch II"" para el F-86T Sabre.
Inspirado en el 51st Fighter-Interceptor Squadron ""FU-910"".","The ""Beauteous Butch II"" skin for the F-86T Sabre.
Based on the 51st Fighter-Interceptor Squadron ""FU-910"".","The ""Beauteous Butch II"" skin for the F-86T Sabre.
Based on the 51st Fighter-Interceptor Squadron ""FU-910"".","The ""Beauteous Butch II"" skin for the F-86T Sabre.
Based on the 51st Fighter-Interceptor Squadron ""FU-910"".","“F-86T Sabre”的“飒爽丽人2号”涂装。
基于第51战斗截击机中队的FU-910号战机。"
AircraftSkin_Description_f86t_12,"The ""Fighting Eagles"" skin for the F-86T Sabre.
Based on the 334th Fighter-Interceptor Squadron ""FU-857"".",F-86軍刀的第334戰機攔截中隊編號FU-857「戰鷹」塗裝.,"Le skin ""Fighting Eagles"" pour le F-86T Sabre.
Basé sur le 334ème Escadron de Chasseurs-Intercepteurs ""FU-857"".","The ""Fighting Eagles"" skin for the F-86T Sabre.
Based on the 334th Fighter-Interceptor Squadron ""FU-857"".","The ""Fighting Eagles"" skin for the F-86T Sabre.
Based on the 334th Fighter-Interceptor Squadron ""FU-857"".","F-86T セイバー用の「ファイティングイーグルス」スキン。
第334戦闘迎撃飛行隊「FU-857」をベースとしています。","The ""Fighting Eagles"" skin for the F-86T Sabre.
Based on the 334th Fighter-Interceptor Squadron ""FU-857"".","El aspecto ""Fighting Eagles"" para el F-86T Sabre.
Inspirado en el 334th Fighter-Interceptor Squadron ""FU-857"".","El aspecto ""Fighting Eagles"" para el F-86T Sabre.
Inspirado en el 334th Fighter-Interceptor Squadron ""FU-857"".","The ""Fighting Eagles"" skin for the F-86T Sabre.
Based on the 334th Fighter-Interceptor Squadron ""FU-857"".","The ""Fighting Eagles"" skin for the F-86T Sabre.
Based on the 334th Fighter-Interceptor Squadron ""FU-857"".","The ""Fighting Eagles"" skin for the F-86T Sabre.
Based on the 334th Fighter-Interceptor Squadron ""FU-857"".","“F-86T Sabre”的“战鹰”涂装。
基于第334战斗截击机中队的FU-857号战机。"
AircraftSkin_Description_ut4054_00,The Osea skin for the UT-4054 Aurora.,UT-4054的歐西亞塗裝.,The Osea skin for the UT-4054 Aurora.,The Osea skin for the UT-4054 Aurora.,Design Osea per UT-4054 Aurora.,「UT-4054」 オーロラ用オシアグレースキン,The Osea skin for the UT-4054 Aurora.,El aspecto de Osea para el UT-4054 Aurora.,El aspecto de Osea para el UT-4054 Aurora.,The Osea skin for the UT-4054 Aurora.,A skin de Osea para o UT-4054 Aurora.,The Osea skin for the UT-4054 Aurora.,“UT-4054 Aurora”的欧西亚涂装。
AircraftSkin_Description_ut4054_01,The Erusea skin for the UT-4054 Aurora.,UT-4054的愛爾吉亞塗裝.,The Erusea skin for the UT-4054 Aurora.,The Erusea skin for the UT-4054 Aurora.,Design Erusea per UT-4054 Aurora.,「UT-4054」 オーロラ用エルジアスキン,The Erusea skin for the UT-4054 Aurora.,El aspecto de Erusea para el UT-4054 Aurora.,El aspecto de Erusea para el UT-4054 Aurora.,The Erusea skin for the UT-4054 Aurora.,A skin de Erusea para o UT-4054 Aurora.,The Erusea skin for the UT-4054 Aurora.,“UT-4054 Aurora”的爱尔吉亚涂装。
AircraftSkin_Description_ut4054_02,A Special skin for the UT-4054 Aurora.,UT-4054的特別塗裝.,A Special skin for the UT-4054 Aurora.,A Special skin for the UT-4054 Aurora.,Design speciale per UT-4054 Aurora.,「UT-4054」 オーロラ用スペシャルスキン,A Special skin for the UT-4054 Aurora.,Un aspecto especial para el UT-4054 Aurora.,Un aspecto especial para el UT-4054 Aurora.,A Special skin for the UT-4054 Aurora.,Uma skin especial para o UT-4054 Aurora.,A Special skin for the UT-4054 Aurora.,“UT-4054 Aurora”的特殊涂装。
AircraftSkin_Description_ut4054_03,The Mobius 1 skin for the UT-4054 Aurora.,"UT-4054的""緞帶死神""塗裝.",The Mobius 1 skin for the UT-4054 Aurora.,The Mobius 1 skin for the UT-4054 Aurora.,Design Mobius 1 per UT-4054 Aurora.,「UT-4054」 オーロラ用メビウス1スキン,The Mobius 1 skin for the UT-4054 Aurora.,El aspecto de Mobius 1 para el UT-4054 Aurora.,El aspecto de Mobius 1 para el UT-4054 Aurora.,The Mobius 1 skin for the UT-4054 Aurora.,A skin de Mobius 1 para o UT-4054 Aurora.,The Mobius 1 skin for the UT-4054 Aurora.,“UT-4054 Aurora”的法师涂装。
AircraftSkin_Description_ut4054_04,The Razgriz 1 skin for the UT-4054 Aurora.,"UT-4054的""Razgriz的鬼魂""塗裝.",The Razgriz 1 skin for the UT-4054 Aurora.,The Razgriz 1 skin for the UT-4054 Aurora.,Design Razgriz 1 per UT-4054 Aurora.,「UT-4054」 オーロラ用ラーズグリーズ1スキン。,The Razgriz 1 skin for the UT-4054 Aurora.,El aspecto de Razgriz 1 para el UT-4054 Aurora.,El aspecto de Razgriz 1 para el UT-4054 Aurora.,The Razgriz 1 skin for the UT-4054 Aurora.,A skin de Razgriz 1 para o UT-4054 Aurora.,The Razgriz 1 skin for the UT-4054 Aurora.,“UT-4054 Aurora”的后援者涂装。
AircraftSkin_Description_ut4054_05,The Trigger skin for the UT-4054 Aurora.,"UT-4054的""三線出局""塗裝.",The Trigger skin for the UT-4054 Aurora.,The Trigger skin for the UT-4054 Aurora.,Design Trigger per UT-4054 Aurora.,「UT-4054」 オーロラ用トリガースキン。,The Trigger skin for the UT-4054 Aurora.,El aspecto de Trigger para el UT-4054 Aurora.,El aspecto de Trigger para el UT-4054 Aurora.,The Trigger skin for the UT-4054 Aurora.,A skin de Trigger para o UT-4054 Aurora.,The Trigger skin for the UT-4054 Aurora.,“UT-4054 Aurora”的疾行者涂装。
AircraftSkin_Description_ut4054_06,The Rex Skin for the UT-4054 Aurora.,"UT-4054的""希孚之翼""塗裝.",The Rex Skin for the UT-4054 Aurora.,The Rex Skin for the UT-4054 Aurora.,Design Rex per UT-4054 Aurora.,「UT-4054」 オーロラ用レックススキン。,The Rex Skin for the UT-4054 Aurora.,El aspecto de Rex para el UT-4054 Aurora.,El aspecto de Rex para el UT-4054 Aurora.,The Rex Skin for the UT-4054 Aurora.,A skin de Rex para o UT-4054 Aurora.,The Rex Skin for the UT-4054 Aurora.,“UT-4054 Aurora”的雷克斯涂装。
AircraftSkin_Description_ut4054_07,Nemo skin with Neucom markings for the UT-4054 Aurora.,UT-4054的Neucom版尼莫塗裝.,Nemo skin with Neucom markings for the UT-4054 Aurora.,Nemo skin with Neucom markings for the UT-4054 Aurora.,Variante con i segni Neucom del design Nemo per UT-4054 Aurora.,「UT-4054」 オーロラ用ニューコムマーキング入りネモスキン。,Nemo skin with Neucom markings for the UT-4054 Aurora.,El aspecto de Nemo con insignia de Neucom para el UT-4054 Aurora.,El aspecto de Nemo con insignia de Neucom para el UT-4054 Aurora.,Nemo skin with Neucom markings for the UT-4054 Aurora.,Skin de Nemo com marcações Neucom para o UT-4054 Aurora.,Nemo skin with Neucom markings for the UT-4054 Aurora.,“UT-4054 Aurora”的带有新网标志的尼摩涂装。
AircraftSkin_Description_ut4054_08,Dision skin with General Resource Defense Force markings for the UT-4054 Aurora.,UT-4054的通用資源版Dision塗裝.,Dision skin with General Resource Defense Force markings for the UT-4054 Aurora.,Dision skin with General Resource Defense Force markings for the UT-4054 Aurora.,Variante con i segni General Resource del design Dision per UT-4054 Aurora., オーロラ用ゼネラル・リソース・ディフェンス・フォースマーキング入りディシオンスキン。,Dision skin with General Resource Defense Force markings for the UT-4054 Aurora.,El aspecto de Dision con insignia de la General Resource Defense Force para el UT-4054 Aurora.,El aspecto de Dision con insignia de la General Resource Defense Force para el UT-4054 Aurora.,Dision skin with General Resource Defense Force markings for the UT-4054 Aurora.,Skin de Dision com marcações General Resource Defense Force para o UT-4054 Aurora.,Dision skin with General Resource Defense Force markings for the UT-4054 Aurora.,“UT-4054 Aurora”的带有通用资源防卫力量标志的迪修涂装。
AircraftSkin_Description_ut4054_09,Dision skin with Ouroboros markings for the UT-4054 Aurora.,"UT-4054的""銜尾蛇""版Dision塗裝.",Dision skin with Ouroboros markings for the UT-4054 Aurora.,Dision skin with Ouroboros markings for the UT-4054 Aurora.,Variante con i segni Ouroboros del design Dision per UT-4054 Aurora., オーロラ用ウロボロスマーキング入りディシオンスキン。,Dision skin with Ouroboros markings for the UT-4054 Aurora.,El aspecto de Dision con insignia de Ouroboros para el UT-4054 Aurora.,El aspecto de Dision con insignia de Ouroboros para el UT-4054 Aurora.,Dision skin with Ouroboros markings for the UT-4054 Aurora.,Skin de Dision com marcações Ouroboros para o UT-4054 Aurora.,Dision skin with Ouroboros markings for the UT-4054 Aurora.,“UT-4054 Aurora”的带有衔尾蛇标志的迪修涂装。
AircraftSkin_Description_ut4054_10,The skin based on the SR-75 Penetrator paintjob for the UT-4054 Aurora.,"UT-4054的SR-75 ""貫穿者""塗裝.",The skin based on the SR-75 Penetrator paintjob for the UT-4054 Aurora.,The skin based on the SR-75 Penetrator paintjob for the UT-4054 Aurora.,Design Penetrator per UT-4054 Aurora. (Riferimento alla verniciatura dell'R-75 Penetrator), オーロラ用の、SR-75 ペネトレーターのペイントジョブをベースにしたスキンです。,The skin based on the SR-75 Penetrator paintjob for the UT-4054 Aurora.,El aspecto basado en el esquema de pintura del SR-75  Penetrator para el UT-4054 Aurora.,El aspecto basado en el esquema de pintura del SR-75  Penetrator para el UT-4054 Aurora.,The skin based on the SR-75 Penetrator paintjob for the UT-4054 Aurora.,A skin baseada na pintura do SR-75 Penetrator para o UT-4054 Aurora.,The skin based on the SR-75 Penetrator paintjob for the UT-4054 Aurora.,“UT-4054 Aurora”的基于SR-75“穿透者”涂装方案的涂装。
AircraftSkin_Description_ut4054_11,The Super Miku skin for the UT-4054 Aurora.,"UT-4054的""超級初音未來""塗裝.",The Super Miku skin for the UT-4054 Aurora.,The Super Miku skin for the UT-4054 Aurora.,Design Super Miku per UT-4054 Aurora.,オーロラ用のスーパーミクスキンです。,The Super Miku skin for the UT-4054 Aurora.,"El aspecto ""Super Miku"" para el UT-4054 Aurora.","El aspecto ""Super Miku"" para el UT-4054 Aurora.",The Super Miku skin for the UT-4054 Aurora.,A skin de Super Miku para o UT-4054 Aurora.,The Super Miku skin for the UT-4054 Aurora.,“UT-4054 Aurora”的超级初音涂装。
AircraftSkintype_Name_f86t_DLC1,Belkan Woodland Skin,Belkan Woodland Skin,Belkan Woodland Skin,Belkan Woodland Skin,Belkan Woodland Skin,Belkan Woodland Skin,Belkan Woodland Skin,Belkan Woodland Skin,Belkan Woodland Skin,Belkan Woodland Skin,Belkan Woodland Skin,Belkan Woodland Skin,Belkan Woodland Skin
AircraftSkintype_Name_f86t_DLC2,Vault Girl Skin,Vault Girl Skin,Vault Girl Skin,Vault Girl Skin,Vault Girl Skin,Vault Girl Skin,Vault Girl Skin,Vault Girl Skin,Vault Girl Skin,Vault Girl Skin,Vault Girl Skin,Vault Girl Skin,Vault Girl Skin
AircraftSkintype_Name_f86t_DLC3,SRPA Skin,SRPA Skin,SRPA Skin,SRPA Skin,SRPA Skin,SRPA Skin,SRPA Skin,SRPA Skin,SRPA Skin,SRPA Skin,SRPA Skin,SRPA Skin,SRPA Skin
AircraftSkintype_Name_f86t_DLC4,Taiwanese Air Force Skin,Taiwanese Air Force Skin,Taiwanese Air Force Skin,Taiwanese Air Force Skin,Taiwanese Air Force Skin,Taiwanese Air Force Skin,Taiwanese Air Force Skin,Taiwanese Air Force Skin,Taiwanese Air Force Skin,Taiwanese Air Force Skin,Taiwanese Air Force Skin,Taiwanese Air Force Skin,Taiwanese Air Force Skin
AircraftSkintype_Name_f86t_DLC5,MiG Poison Skin,MiG Poison Skin,MiG Poison Skin,MiG Poison Skin,MiG Poison Skin,MiG Poison Skin,MiG Poison Skin,MiG Poison Skin,MiG Poison Skin,MiG Poison Skin,MiG Poison Skin,MiG Poison Skin,MiG Poison Skin
AircraftSkintype_Name_f86t_DLC6,Beauteous Butch II Skin,Beauteous Butch II Skin,Beauteous Butch II Skin,Beauteous Butch II Skin,Beauteous Butch II Skin,Beauteous Butch II Skin,Beauteous Butch II Skin,Beauteous Butch II Skin,Beauteous Butch II Skin,Beauteous Butch II Skin,Beauteous Butch II Skin,Beauteous Butch II Skin,Beauteous Butch II Skin
AircraftSkintype_Name_f86t_DLC7,Fighting Eagles Skin,Fighting Eagles Skin,Fighting Eagles Skin,Fighting Eagles Skin,Fighting Eagles Skin,Fighting Eagles Skin,Fighting Eagles Skin,Fighting Eagles Skin,Fighting Eagles Skin,Fighting Eagles Skin,Fighting Eagles Skin,Fighting Eagles Skin,Fighting Eagles Skin
AircraftSkintype_Name_ut4054_DLC1,Rex Skin,Rex Skin,Rex Skin,Rex Skin,Rex Skin,Rex Skin,Rex Skin,Rex Skin,Rex Skin,Rex Skin,Rex Skin,Rex Skin,Rex Skin
AircraftSkintype_Name_ut4054_DLC2,Nemo - Neucom ver. Skin,Nemo - Neucom ver. Skin,Nemo - Neucom ver. Skin,Nemo - Neucom ver. Skin,Nemo - Neucom ver. Skin,Nemo - Neucom ver. Skin,Nemo - Neucom ver. Skin,Nemo - Neucom ver. Skin,Nemo - Neucom ver. Skin,Nemo - Neucom ver. Skin,Nemo - Neucom ver. Skin,Nemo - Neucom ver. Skin,Nemo - Neucom ver. Skin
AircraftSkintype_Name_ut4054_DLC3,Dision - General Resource ver. Skin,Dision - General Resource ver. Skin,Dision - General Resource ver. Skin,Dision - General Resource ver. Skin,Dision - General Resource ver. Skin,Dision - General Resource ver. Skin,Dision - General Resource ver. Skin,Dision - General Resource ver. Skin,Dision - General Resource ver. Skin,Dision - General Resource ver. Skin,Dision - General Resource ver. Skin,Dision - General Resource ver. Skin,Dision - General Resource ver. Skin
AircraftSkintype_Name_ut4054_DLC4,Dision - Ouroboros ver. Skin,Dision - Ouroboros ver. Skin,Dision - Ouroboros ver. Skin,Dision - Ouroboros ver. Skin,Dision - Ouroboros ver. Skin,Dision - Ouroboros ver. Skin,Dision - Ouroboros ver. Skin,Dision - Ouroboros ver. Skin,Dision - Ouroboros ver. Skin,Dision - Ouroboros ver. Skin,Dision - Ouroboros ver. Skin,Dision - Ouroboros ver. Skin,Dision - Ouroboros ver. Skin
AircraftSkintype_Name_ut4054_DLC5,Penetrator Skin,Penetrator Skin,Penetrator Skin,Penetrator Skin,Penetrator Skin,Penetrator Skin,Penetrator Skin,Penetrator Skin,Penetrator Skin,Penetrator Skin,Penetrator Skin,Penetrator Skin,Penetrator Skin
AircraftSkintype_Name_ut4054_DLC6,Super Miku Skin,Super Miku Skin,Super Miku Skin,Super Miku Skin,Super Miku Skin,Super Miku Skin,Super Miku Skin,Super Miku Skin,Super Miku Skin,Super Miku Skin,Super Miku Skin,Super Miku Skin,Super Miku Skin
Aircraft_Description_f86t,"A versatile and adaptable transonic jet fighter aircraft developed by a certain nation, the F-86 was developed to counter the rising threat from a similarly designed MiG-15, with both being involved in high-speed jet-to-jet dogfights in a major war. At the end of that war, the F-86 had proven itself to be a successful fighter jet and was considered to be one of the best and most important of its kind in history. Its nickname is the ""Sabre"" and sometimes the ""Sabrejet"".",F-86系由某國針對日益遽增的MiG-15威脅，所研發的多功能、改裝空間極大的穿音速戰鬥機，且兩機均採用相似設計理念，並活用於某大型戰爭中相互進行高速纏鬥。於此大型戰爭中，F-86證明自身有效性且具航空歷史定位。其稱為「軍刀」亦或是「軍刀戰機」。,"Un chasseur à réaction transsonique, versatile et adaptable développé par un certain pays, le F-86 fut développé pour contrer la menace émergente d'un MiG-15 de conception similaire, les deux appareils étant impliqués dans des combats aériens entre jets à haute vitesse durant une guerre majeure. A l'issue de cette guerre, le F-86 avait fait ses preuves en tant que chasseur à réaction et fut considéré comme l'un des meilleurs et plus importants de l'Histoire. Son surnom est le ""Sabre"" et parfois le ""Sabrejet"".","A versatile and adaptable transonic jet fighter aircraft developed by a certain nation, the F-86 was developed to counter the rising threat from a similarly designed MiG-15, with both being involved in high-speed jet-to-jet dogfights in a major war. At the end of that war, the F-86 had proven itself to be a successful fighter jet and was considered to be one of the best and most important of its kind in history. Its nickname is the ""Sabre"" and sometimes the ""Sabrejet"".","A versatile and adaptable transonic jet fighter aircraft developed by a certain nation, the F-86 was developed to counter the rising threat from a similarly designed MiG-15, with both being involved in high-speed jet-to-jet dogfights in a major war. At the end of that war, the F-86 had proven itself to be a successful fighter jet and was considered to be one of the best and most important of its kind in history. Its nickname is the ""Sabre"" and sometimes the ""Sabrejet"".",ある国が開発した、汎用性と適応性に優れた遷音速ジェット戦闘機、F-86は、類似設計のMiG-15の脅威の高まりに対抗するために開発されました。両機は、ある大戦において、ジェット機同士の高速ドッグファイトを繰り広げました。戦争終結時には、F-86は優れた戦闘機としての実力を証明し、同種の機体の中では史上最高かつ最も重要な機体の一つとされていました。愛称は「セイバー」、あるいは「セイバージェット」です。,"A versatile and adaptable transonic jet fighter aircraft developed by a certain nation, the F-86 was developed to counter the rising threat from a similarly designed MiG-15, with both being involved in high-speed jet-to-jet dogfights in a major war. At the end of that war, the F-86 had proven itself to be a successful fighter jet and was considered to be one of the best and most important of its kind in history. Its nickname is the ""Sabre"" and sometimes the ""Sabrejet"".","Un avión caza a reacción transónico, versátil y adaptable, desarrollado por una nación en particular. El F-86 fue desarrollado para contrarrestar la amenaza creciente del similarmente diseñado MiG-15, siendo ambos utilizados en combates aéreos de alta velocidad durante una importante guerra. Para fines de esta, el F-86 había demostrado su éxito como caza de combate y fue considerado uno de los mejores y más importantes de su clase de la historia. Su apodo es ""Sabre"", y a veces, ""Sabrejet"".","Un avión caza a reacción transónico, versátil y adaptable, desarrollado por una nación en particular. El F-86 fue desarrollado para contrarrestar la amenaza creciente del similarmente diseñado MiG-15, siendo ambos utilizados en combates aéreos de alta velocidad durante una importante guerra. Para fines de esta, el F-86 había demostrado su éxito como caza de combate y fue considerado uno de los mejores y más importantes de su clase de la historia. Su apodo es ""Sabre"", y a veces, ""Sabrejet"".","A versatile and adaptable transonic jet fighter aircraft developed by a certain nation, the F-86 was developed to counter the rising threat from a similarly designed MiG-15, with both being involved in high-speed jet-to-jet dogfights in a major war. At the end of that war, the F-86 had proven itself to be a successful fighter jet and was considered to be one of the best and most important of its kind in history. Its nickname is the ""Sabre"" and sometimes the ""Sabrejet"".","A versatile and adaptable transonic jet fighter aircraft developed by a certain nation, the F-86 was developed to counter the rising threat from a similarly designed MiG-15, with both being involved in high-speed jet-to-jet dogfights in a major war. At the end of that war, the F-86 had proven itself to be a successful fighter jet and was considered to be one of the best and most important of its kind in history. Its nickname is the ""Sabre"" and sometimes the ""Sabrejet"".","A versatile and adaptable transonic jet fighter aircraft developed by a certain nation, the F-86 was developed to counter the rising threat from a similarly designed MiG-15, with both being involved in high-speed jet-to-jet dogfights in a major war. At the end of that war, the F-86 had proven itself to be a successful fighter jet and was considered to be one of the best and most important of its kind in history. Its nickname is the ""Sabre"" and sometimes the ""Sabrejet"".",F-86是由某国研发的一款强适应能力多用途跨音速战机，为应对增长的来自相似设计的MIG-15战机的威胁而研发，两者皆在一场大型战争中参与了喷气式飞机之间的高速缠斗。在战争末期，F-86证明了自身是一款成功的喷气式战斗机，也被认为是历史上与其同类型的战机中最优秀且影响最为重大的战机之一。其有“佩刀”之称，有时也被称为“军刀式喷气机”。
